"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","species"
"1","Q",2,"fc.Q_rm.2",0.718604393305439,0.971,0.0529004716417631,0.0205159947860406,0.710931277173913,0.0529928174479257,0.7373,0.1096793812285,0.100724637681159,0.0721470534451982,0,0,5997.44849747742,168.543656518572,2.48938298504057e-37,6,"Naja kaouthia"
"2","LQP",3.5,"fc.LQP_rm.3.5",0.903931818181818,0.921,0.0469698853914447,0.0312827562500831,0.890319047619048,0.0527127416483545,0.6378,0.288752412207336,0.0904761904761905,0.103357591086347,0.0142857142857143,0.0451753951452626,1622.69063233862,53.1261306498461,9.87945956208931e-13,9,"Naja fuxi"
"3","L",0.5,"fc.L_rm.0.5",0.837984782608696,0.93,0.0457953814644137,0.0454823684175367,0.827109761904762,0.0584927081057931,0.7982,0.11261418896194,0.102380952380952,0.0978800228147356,0.0142857142857143,0.0451753951452626,1683.45578356837,54.7948992457214,1.15849580459991e-12,8,"Naja fuxi vietnam"
